page,text
22,"| | SADHAKA-SANIJIV.ANI ‘XV
to totally surrender to God, after regarding God as one’s own
and one's own self, as God's—this is Bhaktiyoga. He, in whom
interest to act dominates, is qualified to adopt the Path of Action.
He, in whom inquisitiveness for Self-realisation dominates, is
eligible and qualified, for the Path of Knowledge. He, in whom
faith and belief in God dominates, is qualified for the Path of
Devotion. All these three Yoga-paths. are independent means
of God-realization. All other means are also implicit in these
three paths.* | a : :

The main object of all the paths, is to accomplish separation
from non-self. However, there does remain a difference in
these disciplines in attaining separation, but after completing
this breach with matter (non-self), all means lead to realization
of one equanimous; supreme Godhead. This very realization of
‘Paramatmatattva’, the Gita has called ""Yoga’; and verily, this is
called, 'Nityayoga'—the Eternal Union. —

It is not right, that there has been given only a description,
in the Gita of Karmayoga, Jiianayoga, or of Bhaktiyoga. Besides

_ . these three yogas, there is a description of yajfia (sacrifice), dana
(charity), tapa (penance), dhyanayoga (yoga of meditation),
_ pranayama (control of breath), hathayoga (austere discipline of

| body etc.), layayoga (yoga of rhythmic unison) etc. The reason

| * The Lord has said in the Srimad Bhagavata:

""Y ogastrayo maya prokta nrnar Sreyovidhitsaya; jiianam karma cabhaktisca:
nopayo'nyosti kutracit (11.20.6)."" i.e., “Three Yogas have been stated by Me for
seekers eager for their welfare: those of knowledge, action ard devotion. There
is nowhere, any other way of total well-being.""

| _ The same thing has been observed in the Adhyatma Ramayana and Devi
Bhagavata: | . — a
__ “Margastrayo Maya Proktah Pura Moksaptisadhakah; Karmayogo Jianayogo
Bhaktiyogasca Sa$vatah"" (Adhyatma. 7.7.59).

Margastrayo Me Vikhyata Moksapraptau Nagadhipa: Karmayogo Jianayogo

Bhaktiyogasca Sattama (Devi. 7. 37.3.). -
"
23,"XVI SRIMADBHAGAVADGITA
for it is, that Arjuna's questions in the Gita are not about war,
but really about salvation. Lord Krsna's purpose in discoursing |
this Gita was not the conduct of war. Arjuna definitely wanted
his salvation (2.7; 3.2; 5.1). Therefore, as many means of his |
welfare, which have been reflected in the scriptures, have been
| with precision, detailed in the Gita. Keeping in view all. those
means, the Gita is specially held in high esteem; the reason being,
that a seeker might belong to any belief, creed, or doctrine, but _
one's salvation is indeed, dear and open to all. |
In a ‘Jiva' (being)—there is an 'amSa' (element) of the
Conscious God and an ‘arhSa' of the inert nature (prakrti). By
the dominance of the Conscious-part, one seeks God; and by the
dominance of the inert part, he desires the world. Between these
two, the yearning for God could be satisfied, but the desires of
the world are never fulfilled. Some worldly desires seemingly
fulfilled are never satiated, but owing to worldly attachment, ever
_ new desires arise. In fact, the satisfaction of worldly desires or
| achievement of worldly objects, is not within the authority of
desire, but is subject to karma. God-realization is not under the
power of karma, and it is attained by the intense longing of one's
own Self. Its reason is, that each karma (act), has a beginning and
an end; so the result too is bound to have a beginning and an
end. How can then a beginningless and endless God, be realized
by karmas, which are origin and end bound? But seekers have
often understood, that as the worldly objects are achieved by
the predominance of activities, so also the realization of God
would be achievable through the dominance of activity. As the
assistance of body, senses, mind and intellect, has to be taken
in achieving the objects of the world, so also in God-realization,
the assistance of body, senses, mind, intellect will have to be
"
24,", SADHAKA-SANJIVANI XVII
called for, they argue. Therefore, such seekers practise spiritual
discipline, erroneously with the help of their inert body etc., to
realize God. | |

By practising the Yoga of Meditation for a long time, i.e.,
gradually fixing one's mind on God, when the 'citta' (mind) gets
controlled, having no worldly attachment and being incapable
of realising God, due to inertness, it becomes unconcerned
with the world. On the citta (mind) becoming unconcerned, the
seeker becomes completely cut off from the mind or inertness,
and he gains experience of Godhead automatically (Gita 6.20).
But a seeker, who having accepted his axiomatic and eternal
unison with God, from the beginning without accepting in the

~ Jeast, his kinship with inert matter, traverses the course of his
discipline, he experiences the Supreme Tattva (essence) early,
and with ease. | : |

Thus, for seekers who wish to realize God, there are two
disciplines or ways of seeking Him. The discipline, in which
there remains dominance of ‘antahkarana’ (the inner faculty)
i.e., wherein a seeker observes discipline with the assistance of
matter which goes by the name of 'karana sapeksa salt’. (Discipline
aided by the Inner faculty). The second discipline, in which
the seeker, from the very beginning, follows the discipline by
himself, without the assistance of matter, is called, 'Karana
Nirapeksa Saili' (Discipline unaided by the Inner faculty). God-
realization, in both these disciplines, takes place only by Karana
Nirapeksata 1.e., by one’s own self (after a complete breach with
matter). Realization via 'Karana Sapeksa Saili' comes very late,
whereas it happens immediately, through 'Karana Nirapeksa Sailf.
There are four main differences, between these two disciplines
of seeking God.

(i) Assistance of matter, (body-senses-mind-intellect) has to
"
25,"XV SRIMADBHAGAVADGITA

be taken in the 'Karana Sapeksa Sailr’, but no such assistance is
necessary, in the ‘Karana Nirapeksa Saili’, instead the assumed
relationship with matter, is to be sundered or broken up. _

(ii) There is, creation of a new state of mind in the 'Karana
Sapeksa Saili’, but there is realization after breach with all states
of mind in the 'Karana Nirapeksa Sailt’. |

(iii) There is, in the discipline aided by the instrument, (‘Karana
Sapeksa Saili’) an acquisition of occult powers (siddhis), but

. in the discipline unaided by the instrument, (Karana Nirapeksa
- Saili,) there is a direct and intuitive experience of Reality, on
severance of relationship with matter.* — |

(iv) God-realization, in the ‘discipline aided by the inner .

faculty’ is never immediate, but in the ‘discipline unaided by the
| Instrument’ God-realization (siddhi) is immediate, as soon as a
breach with matter is complete, either after surrendering to God,
| or on being established in the self. |
- In the Yogadarsana of Patafijali, importance is given to -
‘discipline aided by the antahkarana' in the realization of yoga,
but in the Gita, importance is attached only to ‘discipline unaided
by the faculty’, in the realization of yoga (armfafg). It is alright
if the mind gets tuned to God, but if it is not so tuned, then
_ _*Ifit were possible to have direct God-realization with the ‘Discipline aided
by Instrument’ (Cittavrttinirodha), then the ""Vibhuti-Pada' (wherein ‘Siddhis’ are
described) of Patafijali's YogadarSana, would have been futile. Those 'siddhis' or
powers, which are acquired by the ‘Discipline Aided By Instrument’, are hurdles
in the path of God-realization. Even in the Patafijali YogadarSana, the ‘siddhis’
are regarded as obstacles—'Te samadhavupasarga vyutthane siddhayah’ (3.37)
i.e., these (siddhis) are obstacles in the attainment of Samadhi and are ‘powers’ _
during 'Vyutthana' (behavioural) world; ‘Sthanyupanimantrane sahgasmayakaranam
punaranistaprasangat (3.51) i.e.,on being called by the gods guarding the directions,
(by offering temptations of the enjoyments of their realms), neither should one
have attachment for them, nor should one take pride in them; because in doing so,
there is again a possibility of the loss of realization (anista) or a fall.
"
26,"SADHAKA-SANJIVANI XIX
nothing happens—this is the basis of the ‘discipline, aided by
the inner faculty’. Whether or not, mind is attuned to God, it
does not matter; but one's self should be attached to God—this
reflects the ‘discipline unaided by the inner faculty’. The import
and implication of all this is, that, in the 'Karana Nirapeksa Sailr’,
there is direct relation of the self with God, with a total breach
of ties, with the mind intellect complex. Therefore, realization
in the 'Karana Sapeksa Saili' is affirmed by practice, but there
is no need for any other steps, in the 'Karana Nirapeksa Sail’.
The reason is that, there is ‘axiomatic eternal union’ (nitya
yoga) with God. Thus, there is no necessity of any practice in
believing or knowing, one's unitive relation with God; just as
on accomplishment of marriage, when a woman accepts a man
as her husband, she needs to do nothing further, in so believing.
So also, on being told by someone that. ‘here is Gangaji' no
further exercise is to be done, even to realise it.* In the 'Karana
Nirapeksa Saili', The primacy is only of knowing (viveka) and
believing (bhava). If one says, 'T have no relation with inertness
(body etc.) at all'—even without such an experience, if a seeker
firmly believes in this from the very outset, then also such a
realization, clearly dawns upon him. As he was in bondage under
the mistaken belief that, 'I am the body and the body is mine’,
so too, by cultivating the right belief that, 'l’ am not the body
and the body is not mine’, a seeker becomes liberated; because,

* In fact, no worldly illustration is completely befitting, pertaining to the
matter of knowing or believing in God. The reason, is that in believing or
knowing, the world, there is the association of mind and intellect, but in believing
and knowing there is no association of mind and intellect at all, meaning
thereby that God's experience is the realization by one's own self, not by mind-
intellect. Secondly, the act of believing and knowing the world has a beginning
and an end, but there is no such beginning and end, in believing and knowing
God. Reason being that there is nc relation of our being with the world atall, whereas
our relation with God is, since the very beginning, and will always be so.
"
27,"XX SRIMADBHAGAVADGITA —
as a principle, by not relying on, the accepted belief it tends to
| melt away. God, has clearly told us in the Gita, that an ignorant
person, accepting his link with the body, regards himself, as the
doer of things that happen— 'Ahankaravimudhatma kartahamiti
manyate’ (3.27). But an enlightened person, does not regard
himself as the doer, of. those activities—'Naiva: kificit karomiti
yukto manyeta tattvavit' (5.8). It means therefore, that to root
out a false belief, it is necessary to stress a true belief.

‘IT am a Hindi’, 'I am a Brahmana’, ‘I am a Sadhu’, etc., such
beliefs, become so firm that until man does not give these up by
himself, no one else, can make him change his belief. Similarly,
the belief that, 'I, am the body’, ‘I, am the doer’ etc., also becomes
so firm, that it is difficult for a seeker to give these up. But,
these worldly beliefs being unreal and untrue, are not everlasting
and are instead, changeable. As against these beliefs, such as,
‘I am not the body’, 'I am God's’ etc., being real and true are
never lost, but there is only a degree of forgetfulness, a turning
of back on these. Therefore, a real belief on becoming firmly
rooted, does not remain as mere belief, but is transmuted into
a realized awareness (experience).

Though, ‘Discipline aided by inner faculty has been described
in the Gita (as in, 4.24—30; 6.10—28; 8.8—16; 15.11 etc.) yet
‘Discipline unaided by inner faculty’ alone, has been described
with great emphasis (as in, 2.48,55; 3.17; 4.38; 5.12 (first half);
6.5; 9.30-31; 12.12; 18.62, 66,73 etc.). The reason is, firstly that
God desires that seekers should realize Him, early and easily. In
the second place, Arjuna has sought from Him, the means of his
own salvation, on being confronted with a situation of war. Thus,
the “Discipline unaided by the faculty’ alone, could be of use,
for his salvation; because by this discipline of 'Karana Nirapeksa
Sail’, man can achieve his salvation, under all circumstances
"
28,"SADHAKA-SANJIVANI XXI
even while carrying out his activities, according to scriptural
injunctions of karma. Only, through this discipline (without any
practice) Arjuna's delusion was ended and memory of his real
self revived (18.73). :

The ‘Discipline unaided by the inner faculty’, is useful for all,
in equal measure; because there is no necessity, for any special —
ability, condition etc. In this discipline, by developing an intense
desire for God-realization, and immediate separation from matter
being accomplished, the eternal God, is realized. Just as many
year's darkness might be, eliminated by merely kindling a candle,
so also, a very old relationship with matter (of countless births)

there might be, is cut off by a strong and keen yearning, for —
God-realization. Therefore, this intense yearning is a much higher
State, than even ‘Samadhi'—a state of meditative poise—born of
Karana Sapeksata. There is even, a deviation from the highest —
state of ‘nirvikalpa samadhi—into routine behaviour, as with a
beginning and an end, of ‘Samadhi’ also. So long as there is,
a beginning and an end, there exists an affinity for matter. On
renunciating the tie with matter, then seeking spiritual discipline
with the beginning and no end instead, there arises the realization
of an eternal union with God.*

In reality, there was never a disunion (viyoga) with God,
and this is not, even possible. Separation from God appears only
by an assumed relationship with the world (sarnyoga). A man —
intensely eager for God-realization, realises God immediately, after
renouncing the assumed link with the world and merges with Him. _

* Till there exists a tie with inertness, two states do obtain; because
changeable as it is, the inert Nature never remains uniform. Thus these two
States of entry into and exit from equipoise—'Samadhi' and ‘Vyutthana—
arise out of their tie with inertness. On severance of a tie with inertness,
what remains is ‘Sahajavastha’, eternal stateless state, which is called ‘Sahaja
Samadhr by the saints. There is then no relapse or return from it. :
"
29,"XXII SRIMADBHAGAVADGITA
_ Even the need to purify the inner faculty arises, only inthe

‘Karana Sapeksa Saili’, and not in the 'Karana Nirapeksa Sailr.
As, when a pen is good, writing can be excellent but that does
not improve the writer, so also on the inner faculty being pure,
activities could be pure but not the mind of the doer. The doer
becomes pure, on a breach of the tie with the inner faculty;
because the very belief in one's kinship with this, is the root

of impurity.

Axiomatic is '‘Jiva's (the being's), eternal union (yoga) with
the ever-available (nitya prapta) God; thus there is no need for
any instrument for His realization. Only the sight needs to be
turned towards that side, as is observed in Soi Ramacaritamanasa,
‘Sankara Sahaja Saraipu Sarnhara' (1.58.4) meaning, Lord Sankara
contemplated on the nature of His own self, turned his looks
into Himself. A thing looked at, is perceived by us, only by
turning the gaze to it and it becomes known, to be there. In the
same way, by simply discerning it, Nitya Yoga, is experienced.
But, on account of desire, expectation and enjoyment of worldly
pleasures, a great difficulty is felt in turning our sight or attention
towards it, and in realizing it. Till the mind remains tied to
the acquisition and enjoyment of worldly objects, there is no
Capacity in man to turn his gaze towards his real Self. If, by
any reason, chance or perception the gaze happens to be directed
toward the self, it would be extremely difficult to hold it there
permanently. The reason is, that intense endearment (priyata),
for destructible materials, which resides in the heart, does not
permit the understanding of one's eternal and obvious relationship
with God; and even if it is well comprehended, it does not allow
its stability. If intense longing prevails the Reality (tattva) is
realized, then this longing has the power to destroy the very

- attachment, for the world. |
"
30,"SADHAKA-SANJIVANI XXIT

_ All the three yogas—Karmayoga, Jnanayoga and Bhaktlyoga—
spoken of in the Gita are realizable through the discipline of
‘Sadhana 'Karana Nirapeksa’ 1.e., through one’s own self. As the
activity and material, are neither ours nor for ourselves, instead
these belong to others and are meant for the service of others.
The belief or thought thus discriminately arrived at, that 'I am not
the body, nor is the body mine, I am God's and God is mine’, is
not born of the ‘discipline aided by antahkarana and body etc.,
(practice), because it involves a breach of the tie with matter.
Thus, in Karmayoga the seeker himself, gives up his relationship
with inertness, in Jianayoga the seeker realizes his own self; and
in Bhaktiyoga, the seeker surrenders himself to God.

In this 'Sadhaka Sanjivanit commentary on the Gita too,

_ primary importance is given to the ‘discipline unaided by inner
faculty’; because this commentary has been written, keeping in view
the way a seeker's salvation 1s attained, easily and without delay.

-

Since my early age, I had a special interest in the Gita.
Meditative introspection on the Gita and association with and
utterances of saints and great souls, have been of immense help
to me in understanding the real import, of the Gita. The Gita,
brims with ideas, infinite and astounding, which provide great
satisfaction. The ability to understand these ideas fully, and
express these with perfection, is not within my power. But when
certain Gita-loving gentle persons pressed me hard and especially —
urged me, then I felt like preparing a commentary on the Gita,
with the object, that its hidden heart-touching ideas—marmika
bhava—may be revealed to me, so that others also, may in turn |
introspect and meditate upon these, and these ideas may become |
intelligible, to them too. :
"
31,"XXIV SRIMADBHAGAVADGITA
First, a commentary on the twelfth chapter was written which
was published in Vikrama Samvat 2030, under the name of, ‘Gita
Ka Bhaktiyoga’. A few years latter, a commentary on the thirteenth
and fourteenth chapters was dictated, which was published in
Vikrama Sarhvat 2035 as, ‘Gita Ka Jianayoga’. A thought
arose thereafter, that since there are three ""Yogas'—Karmayoga,
Jiianayoga and Bhaktiyoga—it would be more appropriate if three
books were prepared on the three yogas. With this in view, a
commentary on the twelfth chapter, was recast, enlarged and
combined with the commentary of the fifteenth chapter, which
was published in Vikrama Sarnvat 2039, as ‘Gita Ka Bhaktiyoga’,
| (second edition). Then, a commentary on the third, fourth and
fifth chapters, was dictated, which was published in two volumes,
under the title, 'Gita Ka Karmayoga’'. Its delayed publication
came in Vikrama Sarhvat 2040. .

_A different kind of format (Saili), was followed in the
afore-mentioned three books—'Gita Ka Bhaktiyoga’, 'Gita Ka
Jnanayoga’, and ‘Gita Ka Karmayoga’'; the order adopted in
them was, first the context (sambandha), then the verse (Sloka),
then the emotional import (bhava), next the analysis of the
verse (anvaya); and last, the 'pada’-wise commentary. After the
publication of these three volumes, the format was again changed
in the following order; first, the context, then the verse and last,
the commentary. In making the change, the inspiration came from
others also. The idea behind this change was, that the reading
material should be reduced a little, and set out early, so that
the readers would not have to spend more time in reading, and
that the book was prepared speedily, to reach the readers, early.
With this frame-work, the commentary on the sixteenth and the
seventeenth chapters, was. got ready first. This was published
in Vikrama Samvat 2039, under the name of 'Gita Ki Sampatti
Aura Sraddha'. A commentary on the eighteenth chapter, was
"
